0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 
6007 6107 6207 6307 401 501 601 701 801 901 1001 1101 1201 1301 1401 1501 1601 1701 1801 1901 2001 2101 2201 2301 2401 2501 2601 2701 2801 2901 3001 3101 3201 3301 3401 3501 3601 3701 3801 3901 4001 4101 4201 4301 4401 4501 4601 4701 4801 4901 5001 5101 5201 5301 5401 5501 5601 5701 5801 5901 6001 6101 6201 6301 
6006 6106 6206 6306 402 502 602 702 802 902 1002 1102 1202 1302 1402 1502 1602 1702 1802 1902 2002 2102 2202 2302 2402 2502 2602 2702 2802 2902 3002 3102 3202 3302 3402 3502 3602 3702 3802 3902 4002 4102 4202 4302 4402 4502 4602 4702 4802 4902 5002 5102 5202 5302 5402 5502 5602 5702 5802 5902 6002 6102 6202 6302 
6005 6105 6205 6305 403 503 603 703 803 903 1003 1103 1203 1303 1403 1503 1603 1703 1803 1903 2003 2103 2203 2303 2403 2503 2603 2703 2803 2903 3003 3103 3203 3303 3403 3503 3603 3703 3803 3903 4003 4103 4203 4303 4403 4503 4603 4703 4803 4903 5003 5103 5203 5303 5403 5503 5603 5703 5803 5903 6003 6103 6203 6303 
6004 6104 6204 6304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 108 208 308 408 508 608 708 808 908 1008 1108 1208 1308 1408 1508 1608 1708 1808 1908 2008 2108 2208 2308 2408 2508 2608 2708 2808 2908 3008 3108 3208 3308 3408 3508 3608 3708 3808 3908 4008 4108 4208 4308 4408 4508 4608 4708 4808 4908 5008 5108 5208 5308 5408 5508 5608 5708 5808 5908 6008 6108 6208 6308 
6015 6115 6215 6315 409 509 609 709 809 909 1009 1109 1209 1309 1409 1509 1609 1709 1809 1909 2009 2109 2209 2309 2409 2509 2609 2709 2809 2909 3009 3109 3209 3309 3409 3509 3609 3709 3809 3909 4009 4109 4209 4309 4409 4509 4609 4709 4809 4909 5009 5109 5209 5309 5409 5509 5609 5709 5809 5909 6009 6109 6209 6309 
6014 6114 6214 6314 410 510 610 710 810 910 1010 1110 1210 1310 1410 1510 1610 1710 1810 1910 2010 2110 2210 2310 2410 2510 2610 2710 2810 2910 3010 3110 3210 3310 3410 3510 3610 3710 3810 3910 4010 4110 4210 4310 4410 4510 4610 4710 4810 4910 5010 5110 5210 5310 5410 5510 5610 5710 5810 5910 6010 6110 6210 6310 
6013 6113 6213 6313 411 511 611 711 811 911 1011 1111 1211 1311 1411 1511 1611 1711 1811 1911 2011 2111 2211 2311 2411 2511 2611 2711 2811 2911 3011 3111 3211 3311 3411 3511 3611 3711 3811 3911 4011 4111 4211 4311 4411 4511 4611 4711 4811 4911 5011 5111 5211 5311 5411 5511 5611 5711 5811 5911 6011 6111 6211 6311 
